,Unnamed: 0,Name,GradeDistribution,Color,Black,White,Yellow,z_thermo_raw,incut_size,rotational_angle,slopeness,sharpness
117,117,J5,"{'6B+': 5, '6C': 10, '6C+': 7, '7A': 11, '7A+': 6, '7B': 4, '7B+': 4, '7C': 1, '7C+': 3, '8A': 1, '8A+': 0, '8B': 1}",black,1,0,0,0 or 1,,,,
118,118,J6,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 1, '7A+': 0, '7B': 0, '7B+': 1, '7C': 0, '7C+': 0, '8A': 1, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
119,119,J7,"{'6B+': 1, '6C': 2, '6C+': 2, '7A': 2, '7A+': 1, '7B': 1, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,1 or 2,,,,
120,120,J8,"{'6B+': 17, '6C': 12, '6C+': 6, '7A': 6, '7A+': 7, '7B': 2, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,2,,,,
121,121,J9,"{'6B+': 0, '6C': 2, '6C+': 1, '7A': 1, '7A+': 1, '7B': 0, '7B+': 1, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
122,122,J10,"{'6B+': 0, '6C': 1, '6C+': 0, '7A': 0, '7A+': 6, '7B': 2, '7B+': 3, '7C': 2, '7C+': 1, '8A': 0, '8A+': 0, '8B': 0}",white,0,1,0,0 or 1,,,,
123,123,J11,"{'6B+': 0, '6C': 0, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 2, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1,0 or 1,,,,
124,124,J12,"{'6B+': 1, '6C': 0, '6C+': 0, '7A': 1, '7A+': 0, '7B': 0, '7B+': 0, '7C': 1, '7C+': 1, '8A': 1, '8A+': 0, '8B': 0}",black,1,0,0,0 or 1,,,,
125,125,J13,"{'6B+': 4, '6C': 2, '6C+': 1, '7A': 3, '7A+': 1, '7B': 0, '7B+': 0, '7C': 0, '7C+': 0, '8A': 0, '8A+': 0, '8B': 0}",black,1,0,0,1 or 2,,,,
126,126,J14,"{'6B+': 0, '6C': 1, '6C+': 0, '7A': 0, '7A+': 0, '7B': 0, '7B+': 0, '7C': 7, '7C+': 3, '8A': 0, '8A+': 0, '8B': 0}",yellow,0,0,1,0 or 1,,,,
